Coordinates,Y,X,Type
"40.75370586978, -73.980748343273",40.75370587,-73.98074834,B
"40.77701514623, -73.945590869498",40.77701515,-73.94559087,B
"40.782639528989, -73.955557790564",40.78263953,-73.95555779,B
"40.781645309544, -73.95851961987",40.78164531,-73.95851962,B
"40.782576538987, -73.953282942042",40.78257654,-73.95328294,B
"40.781624731972, -73.951892635763",40.78162473,-73.95189264,B
"40.763882170787, -73.973269590164",40.76388217,-73.97326959,B
"40.75824630482, -73.973022910754",40.7582463,-73.97302291,B
"40.709221810433, -74.016142773449",40.70922181,-74.01614277,B
"40.70813995819, -74.01770356764",40.70813996,-74.01770357,B
"40.709511363278, -74.01734339726",40.70951136,-74.0173434,B
"40.717188264577, -74.014798232361",40.71718826,-74.01479823,B
"40.715472153721, -74.016648034573",40.71547215,-74.01664803,B
"40.840606592056, -73.874402192363",40.84060659,-73.87440219,B
"40.996355219277, -73.745419287004",40.99635522,-73.74541929,B
"40.760124605503, -73.920302332342",40.76012461,-73.92030233,B
"40.665858160083, -73.985783687786",40.66585816,-73.98578369,B
"40.61546812794, -73.968506238409",40.61546813,-73.96850624,B
"40.785150495723, -73.783454435777",40.7851505,-73.78345444,B
"40.611062557721, -73.731976725968",40.61106256,-73.73197673,B
"40.780310030459, -73.615966659792",40.78031003,-73.61596666,B
"40.63549647603, -73.727365421936",40.63549648,-73.72736542,B
"40.797728840633, -73.370680992198",40.79772884,-73.37068099,B
"43.01354391084, -75.000264117906",43.01354391,-75.00026412,B
